BRAND;ADDRESS;RATING;UAB;UABWEEK;UABMON;UABTUE;UABWED;UABTHU;UABFRI;UABSAT;UABSUN;PARKLOT;OPENTIME;OPEN6AM;OPEN7AM;OPEN8AM;OPENAFTER8;REVIEWS;AVGTIME;WORK_24HRS;SUNDAYS;WORSTREVIEWS;lat;long;DISTCENT;Open_hour_Mo;Open_hour_Di;Open_hour_Mi;Open_hour_Do;Open_hour_Fr;Open_hour_Sa;Open_hour_So;COMCENTER;NUM_COMMENTS;NEG_COMMENTPRICE;NEG_COMMENTFOOD;NEGPOS_RATIO;POSNEG_RATIO;NEG_REVIEWS;POS_REVIEWS;perc_BH
REWE Markt;Yorckstraﬂe 78, 10965 Berlin;3.8;12;3;0;0;0;0;3;9;0;0;1;1;0;0;0;652;15;0;0;61;52.4931195;13.3829936;2.60245837;18;18;18;14;18;17.5;0;0;24;12;1;0.215419501;4.642105263;95;441;0.12
REWE Markt;Am Ostbahnhof 9, 10243 Berlin;4.1;5;0;0;0;0;0;0;0;5;1;1;1;0;0;0;2179;20;0;1;126;52.5096044;13.4352014;3.965427239;18;18;18;20;18;18;18;1;58;3;0;0.127051672;7.870813397;209;1645;0.04
EDEKA Friedrichstraﬂe;Friedrichstraﬂe 246, 10969 Berlin;3.3;22;16;6;5;5;0;0;6;0;1;2;0;1;0;0;545;15;0;0;70;52.5007211;13.3913148;1.96172166;15;15;15;14;15;15;0;0;67;57;8;0.594594595;1.681818182;154;259;0.25
EDEKA Thaut;Jessnerstraﬂe 47-55, 10247 Berlin;3.9;19;10;0;4;1;3;2;9;0;0;2;0;1;0;0;424;20;0;0;50;52.509941;13.4707456;6.342585035;15;15;15;14;15;15;0;0;10;3;1;0.227722772;4.391304348;69;303;0.21
EDEKA Berlin Yorckstraﬂe;Yorckstraﬂe 14, 10965 Berlin;3.8;15;8;0;3;3;2;0;7;0;0;2;0;1;0;0;245;15;0;0;22;52.4939562;13.3840409;2.521348161;15;15;15;14;15;15;0;0;21;18;2;0.232704403;4.297297297;37;159;0.17
Nah und Gut Geyik;Gneisenaustraﬂe 84, 10961 Berlin;4.2;3;1;1;0;0;0;0;2;0;0;2;0;1;0;0;116;10;0;0;7;52.4915899;13.396834;3.038328882;14;14;14;14;14;13;0;0;4;0;0;0.181818182;5.5;16;88;0.04
EDEKA Schnelle;Andreasstraﬂe 59, 10243 Berlin;3.8;45;37;4;9;9;9;6;8;0;1;2;0;1;0;0;1204;15;0;0;117;52.5148704;13.4313149;3.635127772;14;14;14;14;14;14;0;0;49;39;9;0.225885226;4.427027027;185;819;0.54
PENNY;Am Ostbahnhof 9, 10243 Berlin;4;4;0;0;0;0;0;0;0;4;1;2;0;1;0;0;595;20;0;1;56;52.5098947;13.4342925;3.898929615;16;16;16;14;16;16;16;1;35;5;1;0.173913043;5.75;76;437;0.04
Netto - G¸nstig. Besser. F¸r dich.;Koppenstraﬂe 93, 10243 Berlin;3.8;32;27;1;8;7;4;7;5;0;0;3;0;0;1;0;368;15;0;0;34;52.512251;13.4331679;3.784010799;13;13;13;14;13;13;0;0;32;24;3;0.251046025;3.983333333;60;239;0.41
ALDI Nord;Revaler Str. 33, 10245 Berlin;3.8;16;14;0;7;5;0;2;2;0;1;3;0;0;1;0;410;20;0;0;29;52.5056683;13.4600184;5.70043168;13;13;13;13;13;13;0;0;18;15;0;0.225296443;4.438596491;57;253;0.21
REWE Markt;Tamara-Danz-Straﬂe 11, 10243 Berlin;4.3;4;0;0;0;0;0;0;4;0;1;2;0;1;0;0;1316;10;0;0;70;52.5059918;13.4476878;4.877620397;16;16;16;14;16;16;0;1;36;1;0;0.099000908;10.10091743;109;1101;0.04
Eurogida Kreuzberg;Wrangelstraﬂe 85, 10997 Berlin;4.1;4;0;0;0;0;0;0;4;0;1;3;0;0;1;0;641;15;0;0;32;52.49898;13.4413357;4.721724248;12;12;12;12;12;12;0;0;20;2;0;0.104330709;9.58490566;53;508;0.06
ALDI Berlin-Friedrichshain;R¸dersdorfer Str. 65, 10243 Berlin;4.2;25;19;3;5;6;3;2;6;0;1;2;0;1;0;0;536;20;0;0;20;52.5111187;13.4453941;4.621510483;14;14;14;14;14;14;0;0;7;0;0;0.075;13.33333333;33;440;0.3
EDEKA Rigaer Straﬂe;Rigaer Str. 44, 10247 Berlin;3.6;24;14;2;3;4;2;3;10;0;0;2;0;1;0;0;404;15;0;0;59;52.5157387;13.4682726;6.135618649;16;16;16;14;16;16;0;0;52;44;6;0.338582677;2.953488372;86;254;0.26
Eurogida;Wilmersdorfer Str. 46-54, 10627 Berlin;4.2;8;0;0;0;0;0;0;8;0;1;3;0;0;1;0;697;10;0;0;35;52.5087879;13.304297;5.042511715;13;13;13;13;13;13;0;1;30;2;0;0.09948542;10.05172414;58;583;0.1
Netto Marken-Discount;Bergmannstraﬂe 5, 10961 Berlin;3.7;8;8;3;0;2;3;0;0;0;0;2;0;1;0;0;406;10;0;0;33;52.4896483;13.3888988;3.059602795;15;15;15;15;15;15;0;0;12;10;1;0.237704918;4.206896552;58;244;0.09
Lidl;Warschauer Pl. 14, 10245 Berlin;4;22;15;3;3;5;2;2;7;0;0;2;0;1;0;0;1030;20;0;0;43;52.5049714;13.4501783;5.068847135;14;14;14;14;14;14;0;0;30;4;0;0.109974425;9.093023256;86;782;0.26
EDEKA Reske;Frankfurter Allee 35-37, 10247 Berlin;4.1;8;5;1;2;2;0;0;3;0;0;3;0;0;1;0;313;20;0;0;25;52.5155164;13.462003;5.711249716;13;13;13;14;13;13;0;1;24;2;1;0.140495868;7.117647059;34;242;0.1
Netto City;Kochhannstraﬂe 40, 10249 Berlin;3.9;11;8;2;3;2;1;0;3;0;0;2;0;1;0;0;247;15;0;0;14;52.5239706;13.4468634;4.762265889;14;14;14;14;14;14;0;0;13;4;0;0.145251397;6.884615385;26;179;0.13
ALDI Nord;Tamara-Danz-Straﬂe 11, 10243 Berlin;4.1;6;0;0;0;0;0;0;6;0;1;4;0;0;0;1;242;10;0;0;10;52.5063461;13.4458964;4.750378921;12;12;12;12;12;12;0;1;1;0;0;0.122994652;8.130434783;23;187;0.08
Lidl;Markgrafendamm 25C, 10245 Berlin;4.4;11;3;0;2;1;0;0;8;0;1;2;0;1;0;0;195;20;0;0;9;52.5003691;13.4653328;6.19561976;15;15;15;14;15;15;0;0;6;0;0;0.095808383;10.4375;16;167;0.12
Zora Supermarkt 2;Boxhagener Str. 80, 10245 Berlin;4.3;2;0;0;0;0;0;0;2;0;0;4;0;0;0;1;51;15;0;0;5;52.507969;13.4675769;6.158543105;12;12;12;12;12;13;0;0;5;0;0;0.119047619;8.4;5;42;0.03
Lidl;Eldenaer Str. 34A, 10247 Berlin;4.2;6;0;0;0;0;0;0;6;0;1;2;0;1;0;0;810;20;0;0;36;52.5208671;13.4676963;6.117328552;14;14;14;14;14;14;0;0;26;2;0;0.082458771;12.12727273;55;667;0.07
REWE Markt;Landsberger Allee 68, 10249 Berlin;3.9;26;16;0;4;6;2;4;10;0;0;2;0;1;0;0;1071;15;0;0;94;52.5258166;13.4469541;4.809382824;17;17;17;14;17;16.5;0;0;32;11;2;0.189189189;5.285714286;147;777;0.26
PENNY;Boxhagener Str. 80, 10245 Berlin;4;3;0;0;0;0;0;0;3;0;1;2;0;1;0;0;427;15;0;0;28;52.507941;13.4675994;6.160520708;16;16;16;14;16;16;0;0;2;0;0;0.134556575;7.431818182;44;327;0.03
City Sp‰tkauf - Late night supermarket Tobacco Spirits;Boxhagener Str. 13, 10245 Berlin;3.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;3;52.5138626;13.4541736;5.187295765;18.5;16;0;14;0;0;0;0;3;2;0;0.3;3.333333333;3;10;0
EDEKA Kelz;Str. der Pariser Kommune 38, 10243 Berlin;3.6;26;22;3;5;6;4;4;4;0;0;3;0;0;1;0;560;15;0;0;71;52.5161799;13.4407546;4.271186514;12;12;12;14;12;12;0;0;30;25;5;0.351906158;2.841666667;120;341;0.35
Lidl;Stresemannstraﬂe 68-78, 10963 Berlin;3.9;3;0;0;0;0;0;0;3;0;1;2;0;1;0;0;1424;20;0;0;81;52.5037698;13.3839327;1.454631686;15;15;15;14;15;15;0;0;71;32;2;0.156435644;6.392405063;158;1010;0.03
ALDI Nord;Weinstraﬂe 9, 10249 Berlin;4.1;12;5;2;0;3;0;0;7;0;1;2;0;1;0;0;504;20;0;0;25;52.5264351;13.4267506;3.509376884;14;14;14;14;14;14;0;0;18;1;0;0.107142857;9.333333333;42;392;0.14
REWE Markt;Auerstraﬂe 12, 10249 Berlin;4.6;13;9;4;0;0;5;0;4;0;1;4;0;0;0;1;16;15;0;0;0;52.5189216;13.444071;4.505335987;12;12;12;12;12;12;0;0;0;0;0;0;0;0;14;0.18
Netto City;Landsberger Allee 62 b, 10249 Berlin;3.9;10;8;0;3;4;1;0;2;0;0;2;0;1;0;0;317;15;0;0;9;52.5252447;13.4447886;4.652388945;15;15;15;15;15;15;0;0;5;2;0;0.142180095;7.033333333;30;211;0.11
EDEKA Iden;Hauptstraﬂe 16, 10827 Berlin;4.4;20;15;0;6;0;5;4;5;0;0;3;0;0;1;0;962;20;0;0;34;52.487345;13.3571158;3.509682355;12;12;12;12;12;12;0;0;22;1;0;0.058394161;17.125;48;822;0.28
Lidl;Rigaer Str. 36-38, 10247 Berlin;4.2;15;6;2;3;1;0;0;9;0;0;2;0;1;0;0;417;20;0;0;26;52.5161325;13.4659747;5.979657352;15;15;15;14;15;15;0;0;21;2;1;0.093093093;10.74193548;31;333;0.17
EDEKA Siebert;Hasenheide 57, 10967 Berlin;4;22;16;2;7;4;3;0;6;0;0;2;0;1;0;0;513;20;0;0;30;52.489202;13.409136;3.690428621;15;15;15;14;15;15;0;0;3;1;0;0.146981627;6.803571429;56;381;0.25
Lidl;Boxhagener Str. 76, 10245 Berlin;3.8;4;1;0;1;0;0;0;3;0;1;2;0;1;0;0;130;20;0;0;22;52.5074707;13.4681144;6.203103993;15;15;15;14;15;15;0;0;2;2;0;0.296703297;3.37037037;27;91;0.05
Netto Marken-Discount;Frankfurter Allee 57-59, 10247 Berlin;3.7;19;12;4;3;0;5;0;7;0;0;2;0;1;0;0;636;15;0;0;72;52.5148514;13.4659816;5.982290318;15;15;15;15;15;15;0;0;67;54;11;0.281795511;3.548672566;113;401;0.21
EDEKA Meissner;Nollendorfpl. 8-9, 10777 Berlin;4.1;21;10;0;5;4;1;0;11;0;1;0;0;0;0;0;1992;20;1;0;123;52.4988828;13.3545909;2.490163745;17;12;11.5;14;17;23.5;0;1;36;3;1;0.138724523;7.208530806;211;1521;0.22
EDEKA Riebe;Platz d. Vereinten Nationen 14, 10249 Berlin;3.9;16;10;1;4;1;0;4;6;0;1;2;0;1;0;0;564;15;0;0;45;52.522619;13.428417;3.506989589;14;14;14;14;14;14;0;0;43;19;2;0.199029126;5.024390244;82;412;0.19
EDEKA Schnelle;Alt-Stralau 66, 10245 Berlin;4.2;14;11;2;3;2;4;0;3;0;1;2;0;1;0;0;227;15;0;0;19;52.4966349;13.466661;6.411735212;14;14;14;14;14;14;0;0;14;1;0;0.175141243;5.709677419;31;177;0.17
Kaufland Berlin H.-Blankenstein-Str;Hermann-Blankenstein-Straﬂe 38, 10249 Berlin;4.2;8;1;0;0;0;0;1;7;0;1;2;0;1;0;0;3021;32.5;0;0;99;52.5237103;13.4618076;5.756670835;17;17;17;14;17;16.5;0;0;2;0;0;0.078367347;12.76041667;192;2450;0.08
EDEKA Barnimstraﬂe;Barnimstraﬂe 18, 10249 Berlin;3.9;31;23;3;9;4;6;1;8;0;1;2;0;1;0;0;377;15;0;0;26;52.5261786;13.4229189;3.254986783;15;15;15;14;15;15;0;0;6;2;1;0.203007519;4.925925926;54;266;0.35
REWE Markt;Eldenaer Str. 42, 10247 Berlin;3.9;11;3;3;0;0;0;0;8;0;1;2;0;1;0;0;1290;10;0;0;98;52.5203955;13.4626136;5.769930769;16;16;16;14;16;16;0;0;27;10;3;0.173036093;5.779141104;163;942;0.12
Alnatura Super Natur Markt;Koppenstraﬂe 8, 10243 Berlin;4.5;4;4;0;2;1;1;0;0;0;0;3;0;0;1;0;59;15;0;0;2;52.5125665;13.4340994;3.842733593;13;13;13;13;13;13;0;0;1;0;0;0.057692308;17.33333333;3;52;0.05
EDEKA Schnelle;Eckertstraﬂe 11, 10249 Berlin;3.9;19;11;4;4;1;0;2;8;0;1;2;0;1;0;0;875;15;0;0;86;52.5197404;13.45042;4.940810112;14;14;14;14;14;14;0;0;52;24;2;0.1828125;5.47008547;117;640;0.23
Lidl;Knesebeckstraﬂe 47/48, 10719 Berlin;4.1;12;3;0;0;3;0;0;9;0;1;2;0;1;0;0;1003;20;0;0;56;52.500456;13.321152;4.216916436;14.5;14.5;14.5;14;14.5;14.5;0;0;2;0;0;0.121447028;8.234042553;94;774;0.14
Alnatura Super Natur Markt;Schleiermacherstraﬂe 25 Ecke, Bergmannstraﬂe, 10961 Berlin;4.2;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;304;10;0;0;16;52.4891762;13.397773;3.308993579;13;13;13;13;13;13;0;1;9;1;0;0.093385214;10.70833333;24;257;0
EDEKA Brehm;Kottbusser Damm 5, 10967 Berlin;4;8;2;0;1;0;0;1;6;0;1;3;0;0;1;0;294;15;0;0;20;52.4945122;13.420776;3.792988664;12;12;12;14;12;12;0;0;8;1;0;0.158878505;6.294117647;34;214;0.11
EDEKA Bergmannstraﬂe;Bergmannstraﬂe 5-7, 10961 Berlin;3.8;7;0;0;0;0;0;0;7;0;0;2;0;1;0;0;836;20;0;0;81;52.4897231;13.3885721;3.046108787;17;17;17;14;17;16.5;0;0;72;41;20;0.237924866;4.203007519;133;559;0.07
EDEKA Berliner Straﬂe;Berliner Straﬂe 24-25, 10715 Berlin;4.2;10;1;0;0;0;1;0;9;0;1;0;0;0;0;0;2460;20;1;0;113;52.486669;13.3256836;4.825813494;17;12;0;14;0;23;0;0;89;5;0;0.083292262;12.00591716;169;2029;0.15
Kaufland;Schˆneberger Str. 7, 12103 Berlin;4.1;9;0;0;0;0;0;0;9;0;1;2;0;1;0;0;3376;32.5;0;0;155;52.4680606;13.3766468;5.367680766;15;15;15;14;15;15;0;0;132;9;3;0.100598355;9.940520446;269;2674;0.1
BIO COMPANY Voigtstraﬂe;Voigtstraﬂe 38, 10247 Berlin;3.7;14;10;2;3;2;1;2;4;0;0;3;0;0;1;0;77;15;0;0;15;52.5161499;13.4680258;6.118596605;13;13;13;14;13;13;0;0;11;10;1;0.339622642;2.944444444;18;53;0.18
BIO COMPANY Skalitzer Straﬂe am Schlesischen Tor;Skalitzer Straﬂe 71-72 am, Schlesisches Tor, 10997 Berlin;4.3;7;7;1;2;2;2;0;0;0;0;3;0;0;1;0;92;15;0;0;4;52.5004134;13.4406464;4.615690776;13;13;13;14;13;13;0;0;3;0;0;0.060240964;16.6;5;83;0.09
Alnatura Super Natur Markt;Wilmersdorfer Arcaden, Wilmersdorfer Str. 46, 10627 Berlin;4.3;5;0;0;0;0;0;0;5;0;1;3;0;0;1;0;214;10;0;0;12;52.5086834;13.3047414;5.014774281;13;13;13;13;13;13;0;1;10;0;0;0.092896175;10.76470588;17;183;0.06
Denns BioMarkt;Boxhagener Str. 103, 10245 Berlin;3.6;6;1;0;1;0;0;0;5;0;0;3;0;0;1;0;48;15;0;0;10;52.5125894;13.4598559;5.580463224;13;13;13;14;13;13;0;0;8;6;2;0.433333333;2.307692308;13;30;0.08
Eurogida Badstraﬂe;Badstraﬂe 9, 13357 Berlin;4.1;7;0;0;0;0;0;0;7;0;0;3;0;0;1;0;2144;20;0;0;138;52.5501558;13.3859707;3.812909305;12;12;12;12;12;12;0;0;21;2;0;0.128838049;7.761682243;214;1661;0.1
Eurogida Moabit;Turmstraﬂe 43, 10551 Berlin;4.1;3;0;0;0;0;0;0;3;0;0;3;0;0;1;0;721;20;0;0;43;52.527054;13.3347751;3.145581241;12;12;12;12;12;12;0;0;11;1;0;0.124777184;8.014285714;70;561;0.04
Kaufland Berlin-Lichtenberg;Frankfurter Allee 113-117, 10365 Berlin;3.8;5;0;0;0;0;0;0;5;0;1;2;0;1;0;0;187;10;0;0;26;52.5141604;13.4763416;6.686205988;15;15;15;14;15;15;0;1;19;15;3;0.317460317;3.15;40;126;0.06
Denns BioMarkt;Boxhagener Str. 82 82 A, 10245 Berlin;2.8;7;2;0;1;0;1;0;5;0;0;3;0;0;1;0;46;15;0;0;17;52.5086226;13.4665077;6.076266476;13;13;13;14;13;13;0;0;12;11;1;1.2;0.833333333;24;20;0.09
Bazarche Hafez Berlin;Alt-Moabit 45, 10555 Berlin;4.6;3;0;0;0;0;0;0;3;0;0;4;0;0;0;1;180;15;0;0;4;52.5242707;13.3317532;3.2372782;10;10;10;10;10;10;0;0;3;0;0;0.048192771;20.75;8;166;0.05
ALDI;Frankfurter Allee 144, 10365 Berlin;3.9;7;6;0;2;3;1;0;1;0;1;2;0;1;0;0;42;20;0;0;2;52.5118152;13.4812808;7.034388285;14;14;14;14;14;14;0;0;1;0;0;0.166666667;6;5;30;0.08
Eurogida Schˆneberg;Potsdamer Str. 152, 10783 Berlin;4.2;5;0;0;0;0;0;0;5;0;0;3;0;0;1;0;577;20;0;0;33;52.4966862;13.3611126;2.453338972;12;12;12;12;12;12;0;0;13;1;0;0.107692308;9.285714286;49;455;0.07
Eurogida Steglitz;Albrechtstr. 19, 12167 Berlin;3.9;7;0;0;0;0;0;0;7;0;0;3;0;0;1;0;1421;15;0;0;132;52.4544444;13.3272223;7.686741868;12;12;12;12;12;12;0;0;42;11;1;0.193641618;5.164179104;201;1038;0.1
Denns BioMarkt;Warschauer Str. 63, 10243 Berlin;2.4;9;4;0;2;1;1;0;5;0;0;4;0;0;0;1;56;15;0;0;25;52.5101929;13.4519826;5.077466833;12;12;12;14;12;12;0;0;16;13;2;1.882352941;0.53125;32;17;0.12
Denns BioMarkt;M¸hsamstraﬂe 54, 10249 Berlin;3.2;2;2;0;2;0;0;0;0;0;0;3;0;0;1;0;56;15;0;0;12;52.5201813;13.4513574;5.008115255;13;13;13;14;13;13;0;0;6;6;0;0.655172414;1.526315789;19;29;0.03
ALDI Nord;Kreuzbergstraﬂe 39, 10965 Berlin;4.1;7;0;0;0;0;0;0;7;0;1;2;0;1;0;0;702;25;0;0;43;52.4904239;13.374999;2.883562851;14;14;14;14;14;14;0;0;6;0;0;0.123636364;8.088235294;68;550;0.08
Euro Gida Markt Kreuzberg;Naunynstraﬂe 10-11, 10997 Berlin;4.1;7;2;0;0;0;0;2;5;0;0;2;0;1;0;0;54;10;0;0;2;52.5013033;13.4240383;3.554287266;13;13;13;13;13;13;0;0;1;0;0;0.184210526;5.428571429;7;38;0.09
REWE Markt;Skalitzer Str. 134, 10999 Berlin;3.6;6;0;0;0;0;0;0;6;0;0;2;0;1;0;0;1058;20;0;0;120;52.4993725;13.4187919;3.360131203;17;17;17;14;17;16.5;0;0;80;71;7;0.345963756;2.89047619;210;607;0.06
EDEKA Burau;Mainzer Str. 13, 10715 Berlin;4;5;5;0;3;1;1;0;0;0;1;3;0;0;1;0;359;15;0;0;22;52.47972;13.3267825;5.335556226;11;11;11;14;11;10;0;0;2;0;0;0.15648855;6.390243902;41;262;0.07
Lidl;Oranienpl. 4, 10999 Berlin;4;12;5;0;0;3;2;0;7;0;1;2;0;1;0;0;625;20;0;0;42;52.5020637;13.4143547;2.944306607;14;14;14;14;14;14;0;0;40;6;2;0.153846154;6.5;70;455;0.14
EDEKA Hilbrecht;Ritterstraﬂe 38-40, 10969 Berlin;3.7;16;8;0;5;3;0;0;8;0;1;2;0;1;0;0;564;15;0;0;49;52.5036095;13.40352;2.246583648;15;15;15;14;15;15;0;0;7;6;1;0.270893372;3.691489362;94;347;0.18
REWE Markt;Wrangelstraﬂe 53, 10997 Berlin;3.7;4;1;0;0;0;0;1;3;0;0;2;0;1;0;0;454;15;0;0;39;52.4984563;13.4419335;4.782643704;17;17;17;14;17;16.5;0;0;21;19;2;0.276816609;3.6125;80;289;0.04
EDEKA Gerstmann;EDEKA, Stresemannstraﬂe, 10963 Berlin;4.2;17;14;1;4;5;3;1;3;0;1;2;0;1;0;0;12;15;0;0;1;52.5021225;13.3858196;1.668646228;17;17;17;19;17;16.5;0;0;1;0;0;0.2;5;2;10;0.16
PENNY;Reichenberger Str. 57, 10999 Berlin;4.2;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;413;20;0;0;17;52.4951263;13.428512;4.170666353;15;15;15;14;15;15;0;0;4;0;0;0.101190476;9.882352941;34;336;0
Lidl;Charlottenstraﬂe 2, 10969 Berlin;4.1;16;10;0;5;4;1;0;6;0;1;2;0;1;0;0;1204;20;0;0;55;52.5054029;13.3931328;1.599197897;14;14;14;14;14;14;0;0;15;1;0;0.110867179;9.01980198;101;911;0.19
Netto Marken-Discount;Kottbusser Damm 1, 10967 Berlin;3.8;12;5;0;3;0;0;2;7;0;0;2;0;1;0;0;281;15;0;0;17;52.4954324;13.4199691;3.68573057;17;17;17;19;17;17;0;0;2;1;0;0.233532934;4.282051282;39;167;0.12
EDEKA Schrader;Barbarossastraﬂe 69, 10781 Berlin;4;18;10;2;4;0;4;0;8;0;1;2;0;1;0;0;525;15;0;0;35;52.4918816;13.3543183;3.144007961;15;15;15;14;15;15;0;0;23;2;1;0.158441558;6.31147541;61;385;0.2
EDEKA Stadie;Prager Pl. 1-3, 10779 Berlin;4.3;5;0;0;0;0;0;0;5;0;1;1;1;0;0;0;391;10;0;0;17;52.4934177;13.3323511;3.989759847;15.5;15.5;15.5;14;15.5;15.5;0;0;1;0;0;0.099697885;10.03030303;33;331;0.06
PENNY;Kottbusser Damm 66, 10967 Berlin;3.8;7;0;0;0;0;0;0;7;0;1;2;0;1;0;0;429;15;0;0;31;52.4888937;13.4250453;4.425148884;15;15;15;14;15;15;0;0;11;9;1;0.249027237;4.015625;64;257;0.08
REWE City;Friedrichstraﬂe 67-70, 10117 Berlin;4.2;2;2;0;2;0;0;0;0;0;1;3;0;0;1;0;881;10;0;0;31;52.5129415;13.3906186;0.950337197;14;14;14;14;14;14;0;1;24;2;1;0.080168776;12.47368421;57;711;0.02
BIO COMPANY Friesenstraﬂe;Friesenstraﬂe 1, 10965 Berlin;4.1;11;7;0;2;1;2;2;4;0;1;3;0;0;1;0;55;15;0;0;4;52.4888976;13.3942242;3.246734741;13;13;13;14;13;13;0;0;0;0;0;0.119047619;8.4;5;42;0.14
Hao Cai Lei Asian Supermarket;Karl-Marx-Straﬂe 15, 12043 Berlin;4.4;6;1;0;0;1;0;0;5;0;0;4;0;0;0;1;310;15;0;0;8;52.4853967;13.4269979;4.793113463;9.5;9.5;9.5;9.5;9.5;9.5;0;0;5;0;0;0.04797048;20.84615385;13;271;0.11
